,Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Syllables,Source
0,AARDVARK,1,354,1.5500800963911755e-08,1.4225999551502054e-08,3.815485513159406e-06,99,0,0,0,0,0,0,0,2,12of12inf
1,AARDVARKS,2,3,1.3136272003315047e-10,8.653817188771135e-12,9.241713594106556e-09,1,0,0,0,0,0,0,0,2,12of12inf
2,ABACI,3,9,3.9408816009945136e-10,1.169678585886309e-10,5.2904646914222574e-08,7,0,0,0,0,0,0,0,3,12of12inf
3,ABACK,4,29,1.269839626987121e-09,6.654734849591407e-10,1.5951002879713019e-07,28,0,0,0,0,0,0,0,2,12of12inf
4,ABACUS,5,8570,3.752595035613665e-07,3.809463563583624e-07,3.529355594761714e-05,1108,0,0,0,0,0,0,0,3,12of12inf
5,ABACUSES,6,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
6,ABAFT,7,4,1.7515029337753396e-10,2.3027981500146135e-11,2.4592385652759045e-08,1,0,0,0,0,0,0,0,2,12of12inf
7,ABALONE,8,142,6.2178354149024564e-09,4.967966513956233e-09,1.067561063379617e-06,48,0,0,0,0,0,0,0,4,12of12inf
8,ABALONES,9,1,4.378757334438349e-11,8.283601139300324e-11,8.846346945780505e-08,1,0,0,0,0,0,0,0,4,12of12inf
9,ABANDON,10,127090,5.564962696337698e-06,4.698651522249059e-06,3.314939636776057e-05,66312,2009,0,0,0,0,0,0,3,12of12inf
10,ABANDONED,11,234345,1.026139887538955e-05,1.0753076764925532e-05,7.680066712540895e-05,107787,2009,0,0,0,0,0,0,3,12of12inf
11,ABANDONING,12,20962,9.178751124449668e-07,8.418647197212048e-07,1.196763332770896e-05,13112,2009,0,0,0,0,0,0,4,12of12inf
12,ABANDONMENT,13,285978,1.2522282649880102e-05,1.2402669171638634e-05,8.161960244928147e-05,94669,2009,0,0,0,0,0,0,4,12of12inf
13,ABANDONMENTS,14,15433,6.757736194238704e-07,9.313293108025532e-07,2.2627282839742477e-05,6517,2009,0,0,0,0,0,0,4,12of12inf
14,ABANDONS,15,7616,3.334861585908247e-07,1.7024724165002105e-07,3.6462859318612686e-06,5457,2009,0,0,0,0,0,0,3,12of12inf
15,ABASE,16,48,2.1018035205304075e-09,2.5032329475294542e-09,6.083640273405748e-07,42,0,0,0,0,0,0,0,2,12of12inf
16,ABASED,17,75,3.2840680008287614e-09,7.390579907735713e-09,1.825130839663912e-06,62,0,0,0,0,0,0,0,2,12of12inf
17,ABASEMENT,18,15,6.568136001657524e-10,2.611145166601898e-10,1.0427694063223039e-07,11,0,0,0,0,0,0,0,3,12of12inf
18,ABASEMENTS,19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
19,ABASES,20,2,8.757514668876698e-11,1.1695988403828806e-10,1.0164752735793041e-07,2,0,0,0,0,0,0,0,3,12of12inf
20,ABASH,21,5,2.1893786672191743e-10,1.1119933182407501e-10,5.40489618279789e-08,5,0,0,0,0,0,0,0,2,12of12inf
21,ABASHED,22,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,12of12inf
22,ABASHEDLY,23,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4,12of12inf
23,ABASHES,24,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
24,ABASHING,25,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
25,ABASHMENT,26,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
26,ABASHMENTS,27,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
27,ABASING,28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,12of12inf
28,ABATE,29,31015,1.358071587276054e-06,8.634090310604123e-07,1.1905127781772827e-05,17642,0,0,0,0,0,0,0,2,12of12inf
29,ABATED,30,36955,1.618169772941692e-06,8.959453357632414e-07,1.1807147564317078e-05,16841,0,0,0,0,0,0,0,3,12of12inf
30,ABATEMENT,31,146808,6.428366067542252e-06,3.529544326777731e-06,3.908608467382915e-05,43555,0,0,0,0,0,0,0,3,12of12inf
31,ABATEMENTS,32,21195,9.28077617034208e-07,6.223158616402504e-07,1.3984784761317856e-05,9974,0,0,0,0,0,0,0,3,12of12inf
32,ABATES,33,854,3.73945876361035e-08,2.528430520709674e-08,1.7754694896046654e-06,583,0,0,0,0,0,0,0,2,12of12inf
33,ABATING,34,2317,1.0145580743893654e-07,6.345589675299526e-08,2.59974643531914e-06,1646,0,0,0,0,0,0,0,3,12of12inf
34,ABATTOIR,35,195,8.538576802154781e-09,5.188607251531733e-09,7.403251148350255e-07,74,0,0,0,0,0,0,0,3,12of12inf
35,ABATTOIRS,36,147,6.436773281624373e-09,4.303143492581421e-09,9.96703755536369e-07,46,0,0,0,0,0,0,0,3,12of12inf
36,ABBE,37,567,2.482755408626544e-08,2.6684857408101643e-08,4.72267955883856e-06,234,0,0,0,0,0,0,0,1,12of12inf
37,ABBES,38,11,4.816633067882184e-10,1.8924380810226086e-10,1.1749637130421489e-07,5,0,0,0,0,0,0,0,2,12of12inf
